Year,Age,Phase,GrossIncome,Taxes,Living,401k,529,Brokerage,NetSavings,SocialSecurity,CollegeCost,From529,FromBrokerage,RetirementBalance,Q529Balance
2026,45,Work,800000,225900,310000,47000,77500,186600,311100,0,0,0,0,5508600,77500
2027,46,Work,816000,230700,318370,47000,77500,189430,313930,0,0,0,0,6048003,158875
2028,47,Work,832320,235596,326966,47000,77500,192258,316758,0,0,0,0,6619901,244319
2029,48,Work,848966,240590,335794,47000,77500,195082,319582,0,0,0,0,7226078,334035
2030,49,Work,865946,245684,344861,47000,77500,197901,322401,0,0,0,0,7868414,325891
2031,50,Work,883265,250879,354172,47000,77500,200714,325214,0,0,0,0,8548890,314576
2032,51,Work,900930,256179,363734,47000,77500,203517,328017,0,0,0,0,9269596,299858
2033,52,Work,918949,261585,373555,47000,77500,206309,330809,0,0,0,0,10032732,281489
2034,53,Work,937328,267098,383641,47000,77500,209088,333588,0,0,0,0,10840621,259209
2035,54,Work,956074,272722,394000,47000,77500,211852,336352,0,0,0,0,11695707,232741
2036,55,Retire,0,0,0,0,0,0,0,0,339373,0,0,11882640,
2037,56,Retire,0,0,0,0,0,0,0,0,348536,0,0,12068823,
2038,57,Retire,0,0,0,0,0,0,0,0,357947,0,0,12253973,
2039,58,Retire,0,0,0,0,0,0,0,0,367612,0,0,12437790,
2040,59,Retire,0,0,0,0,0,0,0,0,377537,0,0,12619954,
2041,60,Retire,0,0,0,0,0,0,0,0,387731,0,0,12800121,
2042,61,Retire,0,0,0,0,0,0,0,0,398199,0,0,12977927,
2043,62,Retire,0,0,0,0,0,0,0,73532,408951,0,0,13226516,
2044,63,Retire,0,0,0,0,0,0,0,75518,419992,0,0,13477235,
2045,64,Retire,0,0,0,0,0,0,0,141012,431332,0,0,13793390,
2046,65,Retire,0,0,0,0,0,0,0,144820,442978,0,0,14115935,
2047,66,Retire,0,0,0,0,0,0,0,148730,454938,0,0,14444943,
2048,67,Retire,0,0,0,0,0,0,0,152746,467222,0,0,14780489,
2049,68,Retire,0,0,0,0,0,0,0,156870,479837,0,0,15122644,
2050,69,Retire,0,0,0,0,0,0,0,161105,492792,0,0,15471476,
2051,70,Retire,0,0,0,0,0,0,0,165455,506098,0,0,15827050,
2052,71,Retire,0,0,0,0,0,0,0,169922,519762,0,0,16189427,
2053,72,Retire,0,0,0,0,0,0,0,174510,533796,0,0,16558665,
2054,73,Retire,0,0,0,0,0,0,0,179222,548209,0,0,16934819,
2055,74,Retire,0,0,0,0,0,0,0,184061,563010,0,0,17317937,
2056,75,Retire,0,0,0,0,0,0,0,189031,578211,0,0,17708063,
2057,76,Retire,0,0,0,0,0,0,0,194134,593823,0,0,18105237,
2058,77,Retire,0,0,0,0,0,0,0,199376,609856,0,0,18509493,
2059,78,Retire,0,0,0,0,0,0,0,204759,626322,0,0,18920857,
2060,79,Retire,0,0,0,0,0,0,0,210288,643233,0,0,19339350,
2061,80,Retire,0,0,0,0,0,0,0,215966,660600,0,0,19764986,
2062,81,Retire,0,0,0,0,0,0,0,221797,678437,0,0,20197770,
2063,82,Retire,0,0,0,0,0,0,0,227785,696754,0,0,20637700,
2064,83,Retire,0,0,0,0,0,0,0,233935,715567,0,0,21084765,
2065,84,Retire,0,0,0,0,0,0,0,240252,734887,0,0,21538944,
2066,85,Retire,0,0,0,0,0,0,0,246738,754729,0,0,22000206,
2067,86,Retire,0,0,0,0,0,0,0,253400,775107,0,0,22468509,
2068,87,Retire,0,0,0,0,0,0,0,260242,796035,0,0,22943799,
2069,88,Retire,0,0,0,0,0,0,0,267269,817528,0,0,23426011,
2070,89,Retire,0,0,0,0,0,0,0,274485,839601,0,0,23915065,
2071,90,Retire,0,0,0,0,0,0,0,281896,862270,0,0,24410869,
2072,91,Retire,0,0,0,0,0,0,0,289507,885551,0,0,24913314,
2073,92,Retire,0,0,0,0,0,0,0,297324,909461,0,0,25422276,
2074,93,Retire,0,0,0,0,0,0,0,305352,934017,0,0,25937613,
2075,94,Retire,0,0,0,0,0,0,0,313596,959235,0,0,26459167,
2076,95,Retire,0,0,0,0,0,0,0,322063,985134,0,0,26986758,
